timestamp_unix,datetime_iso,dt,active_car,switching_cars,state,raw_adc,raw_throttle_pct,smoothed_throttle_pct,engine_throttle_pct,idle_target_vol,idle_current_vol,idle_is_fading,hellcat_engine_load,hellcat_sim_gear,hellcat_sim_rpm,hellcat_smoothed_throttle,m4_lc_sounds_active,m4_sim_rpm,supra_sim_rpm,svj_clip_elapsed,svj_launch_firing,svj_launch_release_t,svj_rev_zone,svj_sim_gear,svj_smoothed_throttle
1779158606.704716,2026-05-18T21:43:26,0.000000,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.722588,2026-05-18T21:43:26,0.017902,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.740571,2026-05-18T21:43:26,0.018004,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.758675,2026-05-18T21:43:26,0.018083,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.776561,2026-05-18T21:43:26,0.017903,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.794574,2026-05-18T21:43:26,0.018003,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.812567,2026-05-18T21:43:26,0.018000,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.830579,2026-05-18T21:43:26,0.018001,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.848597,2026-05-18T21:43:26,0.018012,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.866580,2026-05-18T21:43:26,0.017988,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.884583,2026-05-18T21:43:26,0.017999,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.902604,2026-05-18T21:43:26,0.018002,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.920574,2026-05-18T21:43:26,0.017992,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.938588,2026-05-18T21:43:26,0.018006,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.956576,2026-05-18T21:43:26,0.018004,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.974600,2026-05-18T21:43:26,0.018002,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158606.992567,2026-05-18T21:43:26,0.017989,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.010622,2026-05-18T21:43:27,0.018010,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.028591,2026-05-18T21:43:27,0.017994,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.046608,2026-05-18T21:43:27,0.018016,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.064605,2026-05-18T21:43:27,0.017994,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.082588,2026-05-18T21:43:27,0.017997,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.100609,2026-05-18T21:43:27,0.018027,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.118637,2026-05-18T21:43:27,0.017978,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.136600,2026-05-18T21:43:27,0.017990,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.154648,2026-05-18T21:43:27,0.018023,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.172603,2026-05-18T21:43:27,0.017982,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.190621,2026-05-18T21:43:27,0.017996,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.208587,2026-05-18T21:43:27,0.018004,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.226605,2026-05-18T21:43:27,0.018010,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.244626,2026-05-18T21:43:27,0.018004,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
1779158607.262593,2026-05-18T21:43:27,0.017984,M4,false,ENGINE_OFF,15823,0.000000,0.000000,0.000000,0.700000,0.700000,false,,,,,false,800.000000,,,,,,,
